fecha,hipodromo,nro_carrera,caballo,jinete,ranking,probabilidad,puntaje
2025-12-05,Club Hípico de Santiago,1,AMAYNA,NICOLAS RAMIREZ,1,100.0,4.3054
2025-12-05,Club Hípico de Santiago,1,ANTUMBRA,MAURICIO CHAMORRO,2,99.6,4.3599
2025-12-05,Club Hípico de Santiago,1,MICCA,GUSTAVO AROS,3,98.3,4.5129
2025-12-05,Club Hípico de Santiago,1,DANITA FIRST,WLADIMIR QUINTEROS,4,97.7,4.5876
2025-12-05,Club Hípico de Santiago,1,NIETA DEL MONTY,RODOLFO S. DORES,5,97.1,4.6688
2025-12-05,Club Hípico de Santiago,1,GRAN TOMAHAWK,PIERO REYES P.,6,96.5,4.7382
2025-12-05,Club Hípico de Santiago,1,VALLTTERI,FRANCISCO MORALES,7,93.8,5.0785
2025-12-05,Club Hípico de Santiago,1,RODELINDO CRACK,SEBASTIAN GONZALEZ,8,91.2,5.4021
2025-12-05,Club Hípico de Santiago,1,SALE DE MIS OJOS,BASTIAN SOTO,9,87.3,5.8892
2025-12-05,Club Hípico de Santiago,1,AHMAKIL,RODOLFO FUENZALIDA,10,66.6,8.4678
2025-12-05,Club Hípico de Santiago,1,RAYO VELOZ,BENJAMIN AYALA,11,60.4,9.2403
2025-12-05,Club Hípico de Santiago,1,DOMINGO ISLEÑO,JESUS PIMENTEL,12,56.7,9.7038
2025-12-05,Club Hípico de Santiago,1,KING NICOLAS,NICOLAS MOLINA,13,36.9,12.1702
2025-12-05,Club Hípico de Santiago,1,SOBRAO DE CARIÑO,JORGE VERA,14,23.0,13.9067
2025-12-05,Club Hípico de Santiago,1,PRAIA DO FORTE,JAIME A. MIÑO,15,0.0,16.7764
2025-12-05,Club Hípico de Santiago,2,SERKET,FABIAN MEDINA,1,100.0,2.9645
2025-12-05,Club Hípico de Santiago,2,TRANQUILA NIÑA,DARIEN CHEUQUE,2,56.2,4.1628
2025-12-05,Club Hípico de Santiago,2,QUE HICE MAL,LESLY C. GONZALEZ,3,54.9,4.1964
2025-12-05,Club Hípico de Santiago,2,PASCUERA,JONATHAN A. CASTILLO,4,53.2,4.2429
2025-12-05,Club Hípico de Santiago,2,SONG SONG BLUE,RODRIGO COVARRUBIAS,5,51.5,4.2912
2025-12-05,Club Hípico de Santiago,2,MADAM SECRETARY,MIGUEL GUTIERREZ,6,48.5,4.3726
2025-12-05,Club Hípico de Santiago,2,CHE AWAY,JAIME MEDINA,7,46.4,4.4286
2025-12-05,Club Hípico de Santiago,2,KOBRICH,JOAQUIN HERRERA,8,45.4,4.4556
2025-12-05,Club Hípico de Santiago,2,DULCITA,WLADIMIR QUINTEROS,9,41.1,4.5731
2025-12-05,Club Hípico de Santiago,2,GOLFISTA,RONALD FOURNET,10,38.8,4.6384
2025-12-05,Club Hípico de Santiago,2,NUEVA ACTRICE,WILBERT LEON,11,0.0,5.6978
2025-12-05,Club Hípico de Santiago,3,CATITA REVOLTOSA,OSCAR ULLOA,1,100.0,1.4209
2025-12-05,Club Hípico de Santiago,3,EL NANY,PEDRO ROBLES,2,44.6,4.4406
2025-12-05,Club Hípico de Santiago,3,BICHOTA,MARCO MORALES,3,43.4,4.5055
2025-12-05,Club Hípico de Santiago,3,MANKIND,RODRIGO PAINEN,4,43.2,4.5163
2025-12-05,Club Hípico de Santiago,3,MONARCA,AXEL ALVAREZ,5,42.7,4.5452
2025-12-05,Club Hípico de Santiago,3,CHAMPELICE,GERARD RODRIGUEZ,6,41.3,4.6195
2025-12-05,Club Hípico de Santiago,3,CALOCHITA,NICOLAS RAMIREZ,7,20.9,5.7323
2025-12-05,Club Hípico de Santiago,3,ZULEIMAN (ARG),RAFAEL CISTERNAS,8,0.0,6.8739
2025-12-05,Club Hípico de Santiago,4,IMPLICADO,AXEL ALVAREZ,1,100.0,4.358
2025-12-05,Club Hípico de Santiago,4,VICHITO,JOAQUIN HERRERA,2,98.8,4.3908
2025-12-05,Club Hípico de Santiago,4,JALISCO,RODRIGO PAINEN,3,96.3,4.4615
2025-12-05,Club Hípico de Santiago,4,MY GREAT,JESUS TORO,4,94.7,4.5067
2025-12-05,Club Hípico de Santiago,4,MOSALA,JAIME MEDINA,5,91.0,4.6091
2025-12-05,Club Hípico de Santiago,4,CANTICIO,SEBASTIAN GONZALEZ,6,12.3,6.8134
2025-12-05,Club Hípico de Santiago,4,MALANDRO,GUSTAVO AROS,7,0.0,7.1562
2025-12-05,Club Hípico de Santiago,5,VAN DER SAR,RODOLFO FUENZALIDA,1,100.0,3.8671
2025-12-05,Club Hípico de Santiago,5,AFIRMATE TONITO,LUIS D. MENGHINI,2,98.1,4.003
2025-12-05,Club Hípico de Santiago,5,FLEETWOOD,GERARD RODRIGUEZ,3,94.7,4.2408
2025-12-05,Club Hípico de Santiago,5,UNO CERO,DARIEN CHEUQUE,4,94.4,4.2664
2025-12-05,Club Hípico de Santiago,5,NEGRO APAPUCHI,JAIME A. MIÑO,5,93.1,4.3534
2025-12-05,Club Hípico de Santiago,5,PACIENCIA ETERNA,JESUS PIMENTEL,6,92.2,4.4236
2025-12-05,Club Hípico de Santiago,5,LA FABITA,MARCO A. BUSTAMANTE,7,91.9,4.4391
2025-12-05,Club Hípico de Santiago,5,REPUBLIC ANA,JOSE SOLANO,8,91.4,4.4774
2025-12-05,Club Hípico de Santiago,5,MANANO,MOISES A. DONOSO,9,89.0,4.6503
2025-12-05,Club Hípico de Santiago,5,GRAN TILAPIA,WILBERT LEON,10,77.2,5.4862
2025-12-05,Club Hípico de Santiago,5,SPECIAL MACHINE,MAURICIO CHAMORRO,11,74.6,5.6654
2025-12-05,Club Hípico de Santiago,5,ESTEPHANIA,BENJAMIN TRONCOSO,12,47.8,7.5677
2025-12-05,Club Hípico de Santiago,5,LUDMILA,BASTIAN SOTO,13,0.0,10.9611
2025-12-05,Club Hípico de Santiago,6,KILAN,JOSE SOLANO,1,100.0,2.6341
2025-12-05,Club Hípico de Santiago,6,LUQUITAS,JOSE VILLABLANCA,2,90.4,3.4005
2025-12-05,Club Hípico de Santiago,6,TORO DEL MONTE,RODOLFO FUENZALIDA,3,83.0,3.9879
2025-12-05,Club Hípico de Santiago,6,GUNDOGAN,NICOLAS RAMIREZ,4,79.6,4.2614
2025-12-05,Club Hípico de Santiago,6,SLOVAK,BASTIAN SOTO,5,75.9,4.5484
2025-12-05,Club Hípico de Santiago,6,SALTARIN,NICOLAS MOLINA,6,75.3,4.6022
2025-12-05,Club Hípico de Santiago,6,EL COMEDIANTE,DARIEN CHEUQUE,7,74.9,4.6315
2025-12-05,Club Hípico de Santiago,6,POETA GRIEGO (ARG),RONALD FOURNET,8,71.8,4.8818
2025-12-05,Club Hípico de Santiago,6,NO SE NA,JOAQUIN HERRERA,9,66.7,5.2816
2025-12-05,Club Hípico de Santiago,6,MANO DE PIEDRA,RODRIGO PAINEN,10,54.4,6.2649
2025-12-05,Club Hípico de Santiago,6,CATANZARO,BENJAMIN TRONCOSO,11,47.9,6.7817
2025-12-05,Club Hípico de Santiago,6,CRUZA EL RIO,FRANCISCO MORALES,12,22.8,8.779
2025-12-05,Club Hípico de Santiago,6,TE ANDAN BUSCANDO,BENJAMIN AYALA,13,0.0,10.5924
2025-12-05,Club Hípico de Santiago,7,TENTADERO,IGNACIO VALDIVIA,1,100.0,0.7895
2025-12-05,Club Hípico de Santiago,7,AMOR CLANDESTINO,JAIME MEDINA,2,78.5,1.6681
2025-12-05,Club Hípico de Santiago,7,ON THE MUSIC,ALVARO APABLAZA,3,8.8,4.5218
2025-12-05,Club Hípico de Santiago,7,SOY INVENCIBLE,OSCAR ULLOA,4,5.3,4.663
2025-12-05,Club Hípico de Santiago,7,TOQUE Y DESPEGUE,HECTOR BERRIOS,5,4.7,4.6905
2025-12-05,Club Hípico de Santiago,7,FLACO TITO,JOAQUIN HERRERA,6,0.0,4.8818
2025-12-05,Club Hípico de Santiago,8,YO PAGO TODO,LUIS TORRES,1,100.0,1.4193
2025-12-05,Club Hípico de Santiago,8,HIJA DEL PAN,NICOLAS MOLINA,2,96.1,1.8724
2025-12-05,Club Hípico de Santiago,8,EN VECES,GERARD RODRIGUEZ,3,94.4,2.0752
2025-12-05,Club Hípico de Santiago,8,SALTO DE LUZ,NICOLAS RAMIREZ,4,81.4,3.6027
2025-12-05,Club Hípico de Santiago,8,MISTER MINNION,BENJAMIN TRONCOSO,5,75.0,4.3543
2025-12-05,Club Hípico de Santiago,8,DOMENICO,RODRIGO PAINEN,6,71.9,4.728
2025-12-05,Club Hípico de Santiago,8,PATMAHO,BASTIAN SOTO,7,68.4,5.1408
2025-12-05,Club Hípico de Santiago,8,AMARTE A TI,MAURICIO CHAMORRO,8,64.0,5.651
2025-12-05,Club Hípico de Santiago,8,DONDE RAUL,VICTOR MIRANDA,9,61.6,5.9379
2025-12-05,Club Hípico de Santiago,8,SABIONDO,JONATHAN A. CASTILLO,10,47.7,7.5728
2025-12-05,Club Hípico de Santiago,8,TODAS MIENTEN,JOSE PAREDES,11,28.8,9.7944
2025-12-05,Club Hípico de Santiago,8,ULTIMO BRINDIS,RAFAEL CISTERNAS,12,5.3,12.5598
2025-12-05,Club Hípico de Santiago,8,RIO SAN JUAN,JORGE VERA,13,0.0,13.1792
2025-12-05,Club Hípico de Santiago,9,FLOWER POWER,VICTOR MIRANDA,1,100.0,3.8836
2025-12-05,Club Hípico de Santiago,9,LA DOPINHUE,RODOLFO S. DORES,2,96.6,4.1662
2025-12-05,Club Hípico de Santiago,9,EL KING,DARIEN CHEUQUE,3,94.0,4.3746
2025-12-05,Club Hípico de Santiago,9,HERE I GO AGAIN,BENJAMIN AYALA,4,92.2,4.5215
2025-12-05,Club Hípico de Santiago,9,NOVAK,RAFAEL CISTERNAS,5,91.2,4.6066
2025-12-05,Club Hípico de Santiago,9,CHINITA TRAVIESA,PIERO REYES P.,6,89.1,4.7798
2025-12-05,Club Hípico de Santiago,9,BACHATA,SEBASTIAN GONZALEZ,7,87.6,4.9018
2025-12-05,Club Hípico de Santiago,9,PETIROSSA,BENJAMIN SANCHO,8,84.4,5.1673
2025-12-05,Club Hípico de Santiago,9,GRAN KURU,LESLY C. GONZALEZ,9,83.0,5.2803
2025-12-05,Club Hípico de Santiago,9,IVY QUEEN,GUSTAVO AROS,10,44.0,8.4895
2025-12-05,Club Hípico de Santiago,9,MISTER HEAD,AXEL ALVAREZ,11,37.8,9.0008
2025-12-05,Club Hípico de Santiago,9,JACINTA GOOD,CLAUDIO JORQUERA,12,15.6,10.8313
2025-12-05,Club Hípico de Santiago,9,CIAO JUANITA,LUIS D. MENGHINI,13,0.0,12.1116
2025-12-05,Club Hípico de Santiago,10,REY RANGNAR,GERARD RODRIGUEZ,1,100.0,3.6039
2025-12-05,Club Hípico de Santiago,10,CAREMECHE,JORGE VERA,2,88.0,4.2249
2025-12-05,Club Hípico de Santiago,10,REY SALOMON,GUSTAVO AROS,3,84.1,4.4274
2025-12-05,Club Hípico de Santiago,10,EL SALVADOR,RODOLFO FUENZALIDA,4,84.0,4.4361
2025-12-05,Club Hípico de Santiago,10,NYQUISTER,JAIME MEDINA,5,80.8,4.6015
2025-12-05,Club Hípico de Santiago,10,AL AMIR,BENJAMIN TRONCOSO,6,79.4,4.6726
2025-12-05,Club Hípico de Santiago,10,NAMRUD TIGER,RAFAEL CISTERNAS,7,35.5,6.9525
2025-12-05,Club Hípico de Santiago,10,LEEVAN CLEFF,OSCAR ULLOA,8,21.0,7.7067
2025-12-05,Club Hípico de Santiago,10,SIEMPRE ESTOY,DARIEN CHEUQUE,9,20.8,7.7191
2025-12-05,Club Hípico de Santiago,10,YO Y DIEZ MAS,JOAQUIN HERRERA,10,0.0,8.7986
2025-12-05,Club Hípico de Santiago,11,VAMOS A BAILAR,JORGE VERA,1,100.0,0.5305
2025-12-05,Club Hípico de Santiago,11,GO SUNSHINE GO,JOAQUIN HERRERA,2,84.7,2.2227
2025-12-05,Club Hípico de Santiago,11,MI GIGANTE,RODOLFO FUENZALIDA,3,62.9,4.6461
2025-12-05,Club Hípico de Santiago,11,ELSEBAAHORRATODO,BENJAMIN TRONCOSO,4,61.8,4.767
2025-12-05,Club Hípico de Santiago,11,CATAPOS,JESUS TORO,5,61.2,4.8295
2025-12-05,Club Hípico de Santiago,11,MACHINE HEAD,PEDRO ROBLES,6,60.7,4.8856
2025-12-05,Club Hípico de Santiago,11,ARRUMACO,NICOLAS MOLINA,7,59.4,5.0344
2025-12-05,Club Hípico de Santiago,11,CANELO DORADO,RONALD FOURNET,8,49.6,6.1103
2025-12-05,Club Hípico de Santiago,11,TIO SALCHICHA,SEBASTIAN GONZALEZ,9,45.4,6.5752
2025-12-05,Club Hípico de Santiago,11,ALFONSO EL GRANDE,GERARD RODRIGUEZ,10,33.5,7.894
2025-12-05,Club Hípico de Santiago,11,REY DE ASTURIAS,GUSTAVO AROS,11,32.1,8.0552
2025-12-05,Club Hípico de Santiago,11,VOY A PALERMO,BENJAMIN SANCHO,12,16.1,9.8224
2025-12-05,Club Hípico de Santiago,11,FLOTT JOEL,WILBERT LEON,13,2.8,11.3028
2025-12-05,Club Hípico de Santiago,11,LUPO VELOCE,DARIEN CHEUQUE,14,0.0,11.611
2025-12-05,Club Hípico de Santiago,12,CINCINNATUS,IGNACIO VALDIVIA,1,100.0,4.2366
2025-12-05,Club Hípico de Santiago,12,SEA WARRIOR,OSCAR ULLOA,2,90.4,4.2862
2025-12-05,Club Hípico de Santiago,12,CORDON DEL CAULLE,ANYELO RIVERA,3,83.6,4.3216
2025-12-05,Club Hípico de Santiago,12,A MI MODO,LUIS TORRES,4,64.6,4.4202
2025-12-05,Club Hípico de Santiago,12,MI PRECIOSO,AXEL ALVAREZ,5,57.9,4.4549
2025-12-05,Club Hípico de Santiago,12,SALTO ETERNO,JORGE A. GONZALEZ,6,39.3,4.5511
2025-12-05,Club Hípico de Santiago,12,HARMONY OF THE SEA,JOAQUIN HERRERA,7,28.3,4.6083
2025-12-05,Club Hípico de Santiago,12,DIAMOND BLUE,NICOLAS RAMIREZ,8,25.4,4.6229
2025-12-05,Club Hípico de Santiago,12,JAMES BRUCE,HUGO OCHOA,9,24.2,4.6295
2025-12-05,Club Hípico de Santiago,12,EL GRIEGO,JAIME MEDINA,10,15.1,4.6766
2025-12-05,Club Hípico de Santiago,12,CAPOLAVORO,KEVIN ESPINA,11,4.5,4.7314
2025-12-05,Club Hípico de Santiago,12,JALONADO,JOSE SOLANO,12,3.9,4.7344
2025-12-05,Club Hípico de Santiago,12,MISTER WATSON,HECTOR BERRIOS,13,0.0,4.7547
2025-12-05,Club Hípico de Santiago,13,DIAMOND ONE,JOAQUIN HERRERA,1,100.0,0.7353
2025-12-05,Club Hípico de Santiago,13,KANDOZI,SEBASTIAN GONZALEZ,2,98.9,0.7838
2025-12-05,Club Hípico de Santiago,13,MAGUIRE,RODRIGO PAINEN,3,12.4,4.4708
2025-12-05,Club Hípico de Santiago,13,COCHERO DEL DIABLO,OSCAR ULLOA,4,9.8,4.5806
2025-12-05,Club Hípico de Santiago,13,CHANGE FORADOLLAR,RAFAEL CISTERNAS,5,9.3,4.6032
2025-12-05,Club Hípico de Santiago,13,CRANS MONTANA,LUIS TORRES,6,6.1,4.7403
2025-12-05,Club Hípico de Santiago,13,INDHIRA,FRANCISCO MORALES,7,5.2,4.7772
2025-12-05,Club Hípico de Santiago,13,TRES PALABRAS,GERARD RODRIGUEZ,8,4.7,4.797
2025-12-05,Club Hípico de Santiago,13,NO PASO AGOSTO,RODOLFO S. DORES,9,4.4,4.8113
2025-12-05,Club Hípico de Santiago,13,SATOSHI,VICTOR MIRANDA,10,0.0,4.9987
2025-12-05,Club Hípico de Santiago,14,EL NENE,AXEL ALVAREZ,1,100.0,2.4733
2025-12-05,Club Hípico de Santiago,14,MY RICHARD,PIERO REYES P.,2,88.3,3.837
2025-12-05,Club Hípico de Santiago,14,GRAN SAMIR,GUSTAVO AROS,3,87.2,3.9617
2025-12-05,Club Hípico de Santiago,14,MISTER VILLAGRA,JESUS TORO,4,85.4,4.1759
2025-12-05,Club Hípico de Santiago,14,VAI BENE COSI,RODOLFO FUENZALIDA,5,83.9,4.3492
2025-12-05,Club Hípico de Santiago,14,MI TATA SAMBUKA,RODRIGO COVARRUBIAS,6,83.8,4.3582
2025-12-05,Club Hípico de Santiago,14,VITA KC,BENJAMIN SANCHO,7,83.1,4.4425
2025-12-05,Club Hípico de Santiago,14,KOLETTE,JORGE VERA,8,82.4,4.5191
2025-12-05,Club Hípico de Santiago,14,MERCI MON DIEU,WLADIMIR QUINTEROS,9,75.7,5.3074
2025-12-05,Club Hípico de Santiago,14,MUCHO VERSO,GERARD RODRIGUEZ,10,66.4,6.3903
2025-12-05,Club Hípico de Santiago,14,NUTCRACKER,JUAN MUÑOZ,11,57.9,7.3757
2025-12-05,Club Hípico de Santiago,14,LADY OF MERCIA,MAURICIO CHAMORRO,12,48.3,8.4966
2025-12-05,Club Hípico de Santiago,14,DOLCE AMARENA,JESUS PIMENTEL,13,43.2,9.0884
2025-12-05,Club Hípico de Santiago,14,DI LA VERDAD ROSA,ANDRES CASTILLO,14,27.0,10.9737
2025-12-05,Club Hípico de Santiago,14,BRINDO POR ELLA,RAFAEL CISTERNAS,15,0.0,14.1241
2025-12-05,Club Hípico de Santiago,15,BAMBO LUKAS,RAFAEL CISTERNAS,1,100.0,1.9879
2025-12-05,Club Hípico de Santiago,15,CASUAL VISION,RODOLFO S. DORES,2,93.2,2.5826
2025-12-05,Club Hípico de Santiago,15,MI JOYA,BENJAMIN SANCHO,3,85.8,3.2171
2025-12-05,Club Hípico de Santiago,15,MORINGA,NICOLAS RAMIREZ,4,76.5,4.0266
2025-12-05,Club Hípico de Santiago,15,LA PUPPE,OSCAR ULLOA,5,72.7,4.3599
2025-12-05,Club Hípico de Santiago,15,CHARLES ATLAS,JOAQUIN HERRERA,6,70.6,4.5414
2025-12-05,Club Hípico de Santiago,15,CINABRIO,RONALD FOURNET,7,67.2,4.8353
2025-12-05,Club Hípico de Santiago,15,MARIA SUREÑA,BENJAMIN TRONCOSO,8,59.2,5.5337
2025-12-05,Club Hípico de Santiago,15,ARTHUR SHELBY,RODRIGO PAINEN,9,53.9,5.9874
2025-12-05,Club Hípico de Santiago,15,SEÑOR TRONCOSO,RODOLFO FUENZALIDA,10,42.0,7.0277
2025-12-05,Club Hípico de Santiago,15,CROCKED,HUGO OCHOA,11,32.1,7.8858
2025-12-05,Club Hípico de Santiago,15,AMPAWAN,BASTIAN SOTO,12,26.0,8.4126
2025-12-05,Club Hípico de Santiago,15,SULTAN GUERRERO,FRANCISCO MORALES,13,21.9,8.7697
2025-12-05,Club Hípico de Santiago,15,BOY SCOUT,JONATHAN A. CASTILLO,14,0.0,10.6707
2025-12-05,Club Hípico de Santiago,16,INDIAN POET,JAIME MEDINA,1,100.0,1.6114
2025-12-05,Club Hípico de Santiago,16,CORRER NORTINO,HUGO OCHOA,2,91.1,2.925
2025-12-05,Club Hípico de Santiago,16,DESENFRENADO,RAFAEL CISTERNAS,3,83.8,4.0015
2025-12-05,Club Hípico de Santiago,16,STOP PLAYING,AXEL ALVAREZ,4,79.2,4.6862
2025-12-05,Club Hípico de Santiago,16,EL CARRIL,GERARD RODRIGUEZ,5,79.1,4.707
2025-12-05,Club Hípico de Santiago,16,SALTO DEL GUAPO,FELIPE HENRIQUEZ,6,78.7,4.755
2025-12-05,Club Hípico de Santiago,16,EL CURANDERO,PEDRO ROBLES,7,78.0,4.8678
2025-12-05,Club Hípico de Santiago,16,STRONG DAIKIRI,LUIS TORRES,8,77.6,4.9311
2025-12-05,Club Hípico de Santiago,16,SPES,DIEGO CARRASCO,9,71.5,5.8244
2025-12-05,Club Hípico de Santiago,16,LA JIBARITA,DARIEN CHEUQUE,10,50.8,8.8885
2025-12-05,Club Hípico de Santiago,16,DOORSTEP,RODOLFO S. DORES,11,40.2,10.4524
2025-12-05,Club Hípico de Santiago,16,FLOREADOR,BENJAMIN TRONCOSO,12,6.9,15.3844
2025-12-05,Club Hípico de Santiago,16,COMO DORMISTE,FRANCISCO MORALES,13,0.0,16.4024
2025-12-05,Club Hípico de Santiago,17,SEE YOU AGAIN,LESLY C. GONZALEZ,1,100.0,2.4581
2025-12-05,Club Hípico de Santiago,17,LA ESCUDERA,NICOLAS RAMIREZ,2,89.7,3.6301
2025-12-05,Club Hípico de Santiago,17,VOLANTE MIXTO,FELIPE HENRIQUEZ,3,85.6,4.0927
2025-12-05,Club Hípico de Santiago,17,NONA BLANCA,JESUS TORO,4,81.5,4.5631
2025-12-05,Club Hípico de Santiago,17,BENVENUTO CELLINI,BASTIAN SOTO,5,79.5,4.7836
2025-12-05,Club Hípico de Santiago,17,JARDIN OLVIDADO,MOISES A. DONOSO,6,78.3,4.9228
2025-12-05,Club Hípico de Santiago,17,TE DIGO ALGO,NICOLAS MOLINA,7,64.5,6.4867
2025-12-05,Club Hípico de Santiago,17,MAKINEN,RONALD FOURNET,8,63.6,6.5947
2025-12-05,Club Hípico de Santiago,17,GUSTO A POCO,MAURICIO CHAMORRO,9,46.4,8.5472
2025-12-05,Club Hípico de Santiago,17,LA SIGUIENTE,SEBASTIAN GONZALEZ,10,44.6,8.7465
2025-12-05,Club Hípico de Santiago,17,LATEN GOOD,BENJAMIN SANCHO,11,34.6,9.8897
2025-12-05,Club Hípico de Santiago,17,TAKE A NAP,HUGO OCHOA,12,25.0,10.9815
2025-12-05,Club Hípico de Santiago,17,SISI STAR,ROBERTO AVILA,13,10.2,12.6574
2025-12-05,Club Hípico de Santiago,17,INTRIGANT,RODOLFO FUENZALIDA,14,1.6,13.6362
2025-12-05,Club Hípico de Santiago,17,BEL FIOR,RODRIGO PAINEN,15,0.0,13.8171
2025-12-05,Club Hípico de Santiago,18,EL VISIR,BASTIAN SOTO,1,100.0,1.9246
2025-12-05,Club Hípico de Santiago,18,BERGERAC (ARG),BENJAMIN AYALA,2,99.0,2.0516
2025-12-05,Club Hípico de Santiago,18,UNDER THE LIGHT,MARCO MORALES,3,80.3,4.3607
2025-12-05,Club Hípico de Santiago,18,ACHAPLINA,LESLY C. GONZALEZ,4,78.7,4.5589
2025-12-05,Club Hípico de Santiago,18,VUELA EL AMOR,BENJAMIN SANCHO,5,77.1,4.7545
2025-12-05,Club Hípico de Santiago,18,JUNO,BENJAMIN TRONCOSO,6,76.5,4.8367
2025-12-05,Club Hípico de Santiago,18,EL CURICANO,GERARD RODRIGUEZ,7,75.3,4.9851
2025-12-05,Club Hípico de Santiago,18,HUACARNECO,SEBASTIAN GONZALEZ,8,73.7,5.1829
2025-12-05,Club Hípico de Santiago,18,SIR WALLANCE,VICTOR MIRANDA,9,70.4,5.5909
2025-12-05,Club Hípico de Santiago,18,TOWN OF TREBBI,FELIPE HENRIQUEZ,10,56.9,7.2628
2025-12-05,Club Hípico de Santiago,18,NEOLIBERAL,FRANCISCO MORALES,11,37.7,9.6369
2025-12-05,Club Hípico de Santiago,18,DEAR SISTER,DARIEN CHEUQUE,12,27.4,10.9095
2025-12-05,Club Hípico de Santiago,18,ASTRO SOL,JESUS TORO,13,27.3,10.9292
2025-12-05,Club Hípico de Santiago,18,SCROOGE,JORGE VERA,14,0.0,14.3071
2025-12-05,Club Hípico de Santiago,19,ALE GUAPA,RODOLFO S. DORES,1,100.0,0.9028
2025-12-05,Club Hípico de Santiago,19,OBRA DE ARTE,DARIEN CHEUQUE,2,91.5,2.0488
2025-12-05,Club Hípico de Santiago,19,BESO AL CIELO,RODRIGO PAINEN,3,85.6,2.8359
2025-12-05,Club Hípico de Santiago,19,MR NUTS,JOAQUIN HERRERA,4,72.9,4.5328
2025-12-05,Club Hípico de Santiago,19,TENGO UN SUEÑO,BENJAMIN SANCHO,5,72.2,4.6294
2025-12-05,Club Hípico de Santiago,19,BENIBLU,GUSTAVO AROS,6,71.4,4.7405
2025-12-05,Club Hípico de Santiago,19,BABY YODA,PEDRO ROBLES,7,71.3,4.7526
2025-12-05,Club Hípico de Santiago,19,COLOR DE SUEÑO,NICOLAS MOLINA,8,70.8,4.8188
2025-12-05,Club Hípico de Santiago,19,CAROLITO,MIGUEL GUTIERREZ,9,69.8,4.9489
2025-12-05,Club Hípico de Santiago,19,CONGOBELGA,GERARD RODRIGUEZ,10,63.8,5.7515
2025-12-05,Club Hípico de Santiago,19,SCALPING,JAIME MEDINA,11,54.2,7.0452
2025-12-05,Club Hípico de Santiago,19,KUAI MA,NICOLAS RAMIREZ,12,47.4,7.9602
2025-12-05,Club Hípico de Santiago,19,PUNTA ITATA,FELIPE HENRIQUEZ,13,21.9,11.3747
2025-12-05,Club Hípico de Santiago,19,SEÑOR GOMEZ,JORGE VERA,14,0.0,14.3128
2025-12-06,Hipódromo Chile,1,MEME,JOAQUÍN HERRERA,1,100.0,1.8816
2025-12-06,Hipódromo Chile,1,ME VERAS CAER,DARIEN CHEUQUE,2,97.7,2.0395
2025-12-06,Hipódromo Chile,1,LA TOSTADORA,ANDRÉS COVARRUBIAS,3,83.3,3.0068
2025-12-06,Hipódromo Chile,1,VINE VIDE VINCI,DIEGO CARVACHO,4,73.4,3.6777
2025-12-06,Hipódromo Chile,1,SU MERCI,ARIEL ZÚÑIGA,5,68.1,4.0322
2025-12-06,Hipódromo Chile,1,JUNTITOS SIEMPRE,JORGE L. VERGARA,6,67.2,4.0902
2025-12-06,Hipódromo Chile,1,FIRST CLASSIC,SEBASTIÁN GONZÁLEZ,7,65.6,4.2004
2025-12-06,Hipódromo Chile,1,VICARIA AMELIA,JAIME A. MIÑO,8,60.9,4.5149
2025-12-06,Hipódromo Chile,1,MESTIZA FLOR,LUIS D. MENGHINI,9,60.5,4.545
2025-12-06,Hipódromo Chile,1,THE GRUNGE,JOSÉ RODRÍGUEZ,10,60.5,4.5478
2025-12-06,Hipódromo Chile,1,ROMAN WAR,JOSÉ VILLABLANCA,11,59.5,4.6131
2025-12-06,Hipódromo Chile,1,BEAUTIFUL MOON,LESLY C. GONZÁLEZ,12,57.2,4.7657
2025-12-06,Hipódromo Chile,1,KIRSCH ROYAL,BORIS GONZÁLEZ,13,43.6,5.6878
2025-12-06,Hipódromo Chile,1,FRANCOLI,JORGE VERA,14,28.2,6.7251
2025-12-06,Hipódromo Chile,1,QUEEN ANY,BENJAMIN SANCHO,15,0.0,8.6245
2025-12-06,Hipódromo Chile,2,SOGNA CON ME,FABIAN MEDINA,1,100.0,1.9206
2025-12-06,Hipódromo Chile,2,PERFIDE,RODOLFO S. DORES,2,98.0,2.0367
2025-12-06,Hipódromo Chile,2,DIOSA KALI,DANIEL MEDINA,3,70.3,3.6482
2025-12-06,Hipódromo Chile,2,LA MORITA,HUGO OCHOA,4,58.9,4.3122
2025-12-06,Hipódromo Chile,2,LA SALCHI,PATRICIO GALÁZ,5,57.0,4.4225
2025-12-06,Hipódromo Chile,2,BACANCITA,JORGE A. GONZÁLEZ,6,55.6,4.508
2025-12-06,Hipódromo Chile,2,LA TROTONA,SEBASTIÁN GONZÁLEZ,7,54.9,4.5459
2025-12-06,Hipódromo Chile,2,ME DAS OTRO BESO,GERARD RODRÍGUEZ,8,54.7,4.5608
