fecha,hipodromo,nro_carrera,caballo,jinete,ranking,probabilidad,puntaje
2025-11-17,Club Hípico de Santiago,1,PERFECTA ACTITUD,JOSE VILLABLANCA,1,100.0,4.9538
2025-11-17,Club Hípico de Santiago,1,LUPO,FRANCISCO MORALES,2,67.3,5.0875
2025-11-17,Club Hípico de Santiago,1,NO HAY ADIOS,BASTIAN SOTO,3,0.0,5.363
2025-11-17,Club Hípico de Santiago,2,FRANBEL SOUR,N.N.,1,100.0,4.9413
2025-11-17,Club Hípico de Santiago,2,TURQUESA DORADA,JORGE VERA,2,74.3,4.974
2025-11-17,Club Hípico de Santiago,2,PACIENCIA ETERNA,N.N.,3,26.8,5.0343
2025-11-17,Club Hípico de Santiago,2,SEE YOU AGAIN,RONALD FOURNET,4,0.0,5.0683
2025-11-17,Club Hípico de Santiago,3,CHIANA,BERNARDO LEON,1,100.0,4.9413
2025-11-17,Club Hípico de Santiago,4,GUACHACA,MAURICIO GALAZ,1,100.0,5.0768
2025-11-17,Club Hípico de Santiago,4,GO SUNSHINE GO,JORGE ZUÑIGA,2,79.8,5.0904
2025-11-17,Club Hípico de Santiago,4,EL BRUJO,GERARD RODRIGUEZ,3,0.0,5.1439
2025-11-17,Club Hípico de Santiago,5,MITOU,NICOLAS RAMIREZ,1,100.0,4.9664
2025-11-17,Club Hípico de Santiago,5,TENTADERO,IGNACIO VALDIVIA,2,0.0,4.9905
2025-11-17,Club Hípico de Santiago,6,FLYNG HEARTS,JOAQUIN HERRERA,1,100.0,5.0708
2025-11-17,Club Hípico de Santiago,7,HOVLAND,DARIEN CHEUQUE,1,100.0,4.9965
2025-11-17,Club Hípico de Santiago,7,VITRUVIUS,SEBASTIAN GONZALEZ,2,0.0,6.4406
2025-11-17,Club Hípico de Santiago,8,PEDERNERA,JAIME MEDINA,1,100.0,5.0966
2025-11-17,Club Hípico de Santiago,9,CABIN CASSIA,JAIME MEDINA,1,100.0,5.1989
2025-11-17,Club Hípico de Santiago,10,RED DADDY,NICOLAS MOLINA,1,100.0,4.9991
2025-11-17,Club Hípico de Santiago,11,INDIAN POET,MAURICIO CHAMORRO,1,100.0,4.9179
2025-11-17,Club Hípico de Santiago,12,PAPUDO CHROME,VICTOR MIRANDA,1,100.0,6.685
2025-11-17,Club Hípico de Santiago,13,ENTRE NEGROS,OSCAR ULLOA,1,100.0,5.113
2025-11-17,Club Hípico de Santiago,13,A TODO VAPOR,JESUS TORO,2,0.0,5.5027
