Carrera,Hora,Premio,Distancia,Tipo,Posicion,Numero,Ejemplar,Padre,Edad,Peso,Distancia_Llegada,Jinete,Preparador,Stud,Dividendo,Tiempo
1,10:45,Momento,1200m,Handicap (Hd) 3 al 2,1,14,Queen Any,Cloud Computing,5,440k,0,B. Sancho.,Raúl Montesino S.,Los Cabezas Alvarez,7.60,1.13.01
1,10:45,Momento,1200m,Handicap (Hd) 3 al 2,2,10,Kirsch Royal,Leading The Parade,11,465k,2,B. González.,Mario Covarrubias,Quarter Dollar,6.80,1.13.01
1,10:45,Momento,1200m,Handicap (Hd) 3 al 2,3,12,La Tostadora,Cupid,5,485k,2½,A. Covarrubias.,Hernán Pacheco P.,Grande Tio Kiko,9.80,1.13.01
1,10:45,Momento,1200m,Handicap (Hd) 3 al 2,4,7,First Classic,Classic Empire,4,473k,3¼,S. González.,Eugenio Switt V.,Los Garrido,2.60,1.13.01
1,10:45,Momento,1200m,Handicap (Hd) 3 al 2,5,13,Juntitos Siempre,Grand Daddy,4,460k,6¾,J. Soto.,Rodrigo López B.,Patito,22.20,1.13.01
2,11:10,Amani,1200m,Condicional (Cd),1,7,Bacancita,Lookin At Lucky,3,504k,0,J. González.,Carlos Raby V.,Stud Dona Lili,1.90,1.12.93
2,11:10,Amani,1200m,Condicional (Cd),2,2,Sogna Con Me,Ya Primo,3,440k,2¾,F. Medina.,José Venegas P.,Jose Venegas P.,4.10,1.12.93
2,11:10,Amani,1200m,Condicional (Cd),3,3,Valkiria,Classic Empire,3,430k,4½,N. Santibañez.,Luis Urbina H.,Luigi,6.70,1.12.93
2,11:10,Amani,1200m,Condicional (Cd),4,9,La Trotona,Robert Bruce,3,459k,5¼,S. González.,Jorge Andrés Inda D.,Haras Convento Viejo,8.70,1.12.93
2,11:10,Amani,1200m,Condicional (Cd),5,4,Diosa Kali,Spun to Run,3,,6¼,D. D. Medina.,José Bravo M.,José Bravo M.,25.60,1.12.93
3,11:35,Hall Wallis,1900m,Handicap (Hd) 23 al 14,1,4,Siete Del Nueve,Good Samaritan,5,465k,0,L. Torres.,Eduardo Lab R.,Crisval,6.70,1.59.27
3,11:35,Hall Wallis,1900m,Handicap (Hd) 23 al 14,2,5,Pajoma,Bad Daddy,5,441k,2,H. Ochoa.,Isaac Michea F.,Bruno Alonso,3.30,1.59.27
3,11:35,Hall Wallis,1900m,Handicap (Hd) 23 al 14,3,3,Roce Secreto,Good Samaritan,4,456k,2½,J. Toro.,Juan C. Pichara J.,Viejo Perro,3.30,1.59.27
3,11:35,Hall Wallis,1900m,Handicap (Hd) 23 al 14,4,1,Alcides,Midshipman,4,439k,5¼,A. Rivera.,Julio Orellana R.,Charrúa,2.00,1.59.27
3,11:35,Hall Wallis,1900m,Handicap (Hd) 23 al 14,5,6,A Quien Saliste,Distorted Economy,4,489k,6¾,I. Valdivia.,Rodrigo Quiroz S.,Titan,6.20,1.59.27
4,12:01,Baalbek,1200m,Handicap (Hd) 1,1,2,Vasca Brava,International Star,4,438k,0,W. León.,Jaime Espineira C.,Jaime Espiñeira C.,2.70,1.13.78
4,12:01,Baalbek,1200m,Handicap (Hd) 1,2,9,El Gran Tornado,Newfoundland,8,441k,2¼,N. Molina.,Mario A. Apablaza G.,Albino,7.60,1.13.78
4,12:01,Baalbek,1200m,Handicap (Hd) 1,3,13,Peluka,Frank Conversation,4,453k,5½,F. Medina.,Juan C. Pichara J.,Seguir Soñando,10.00,1.13.78
4,12:01,Baalbek,1200m,Handicap (Hd) 1,4,12,Beautiful Champion,Sonoma Band,5,421k,6½,J. Vera.,Rodrigo Quiroz S.,Don Alamiro,11.90,1.13.78
4,12:01,Baalbek,1200m,Handicap (Hd) 1,5,14,City Blue,Seeking The Dia,6,429k,6½,F. Moreno.,José Venegas P.,Jose Venegas P.,4.20,1.13.78
5,12:26,Cuan Linda,1200m,Condicional (Cd),1,4,Bernoulli,Distorted Economy,3,438k,0,F. Medina.,Cristián Urbina R.,Kekita,3.90,1.13.08
5,12:26,Cuan Linda,1200m,Condicional (Cd),2,15,Karmelia,Kingly,3,461k,1,R. Fuenzalida.,Juan Pablo Baeza J.,Haras Mocito Guapo,2.50,1.13.08
5,12:26,Cuan Linda,1200m,Condicional (Cd),3,3,Tu Mi Cunca,Cunco,3,435k,3¾,D. D. Medina.,Pedro Diaz S.,Pedro Diaz S.,133.60,1.13.08
5,12:26,Cuan Linda,1200m,Condicional (Cd),4,1,Hi Fly,Flyer,3,421k,5½,P. Galáz.,Hernán Pacheco P.,Grande Tio Kiko,8.70,1.13.08
5,12:26,Cuan Linda,1200m,Condicional (Cd),5,12,Bella Chichi,Distorted Economy,3,466k,6½,A. Covarrubias.,Hernán Pacheco P.,Margal,42.60,1.13.08
6,12:51,Geologo,1200m,Handicap (Hd) 1,1,3,Western Film,Annual Report,6,463k,0,M. Cordero.,Eduardo Lab R.,Francisca Ignacia,3.30,1.13.18
6,12:51,Geologo,1200m,Handicap (Hd) 1,2,7,Demoov,Newfoundland,9,485k,1,M. Gutiérrez.,Julio Castillo D.,Bruno Alonso,5.10,1.13.18
6,12:51,Geologo,1200m,Handicap (Hd) 1,3,10,Silverchair,Papelon,4,410k,1½,A. Vásquez.,Oscar Donate S.,Redbros,3.10,1.13.18
6,12:51,Geologo,1200m,Handicap (Hd) 1,4,14,Josie Girl,El Facha,6,418k,2¾,N. Santibañez.,Alejandro Padovani E.,Maria Dolores,22.50,1.13.18
6,12:51,Geologo,1200m,Handicap (Hd) 1,5,9,Palabra Cierta,Gemologist,7,482k,3¾,R.S. Dores.,Rodrigo Quiroz S.,Peter Ecso,16.20,1.13.18
7,13:17,Jolimet,1200m,Handicap (Hd) 4 al 3,1,4,Good Chief,Good Samaritan,4,425k,0,D. Carvacho.,Isaac Michea F.,Lgs Generadores,8.70,1.11.94
7,13:17,Jolimet,1200m,Handicap (Hd) 4 al 3,2,1,Miss Levalamat,Indian Trail,7,460k,pz,M. Gutiérrez.,Rafael Bernal G.,Doña Nani,2.80,1.11.94
7,13:17,Jolimet,1200m,Handicap (Hd) 4 al 3,3,14,Mandioka,Dangerous Midge,8,421k,¾ cp,A. Vásquez.,Maritza Pérez A.,Tata Lalo,7.50,1.11.94
7,13:17,Jolimet,1200m,Handicap (Hd) 4 al 3,4,13,Limitless,Hold Me Back,7,471k,2½,F. Henríquez.,Leopoldo Parra G.,El Vetero,16.70,1.11.94
