fecha_reunion,hipodromo,numero_carrera,partidor,nombre_caballo,jinete,peso_jinete,peso_caballo,stud,edad,sexo,pelaje,handicap,fuente_archivo,tipo_documento,procesado_en,distancia,condicion,premio,superficie,hora,nro_carrera
2025-12-01,Club Hípico de Santiago,2,1,MADRE PATRIA,Darien Cheuque,55.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.488609,,,,,13:12,2
2025-12-01,Club Hípico de Santiago,3,1,KAREV,Jaime Medina,59.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.488912,,,,,13:37,3
2025-12-01,Club Hípico de Santiago,3,2,NA NI NA,Nicolas Molina,52.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.488928,,,,,13:37,3
2025-12-01,Club Hípico de Santiago,3,3,ZALAVERRY,Gustavo Aros,56.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.488942,,,,,13:37,3
2025-12-01,Club Hípico de Santiago,3,4,FAGIOLO,Victor Miranda,56.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.488955,,,,,13:37,3
2025-12-01,Club Hípico de Santiago,3,5,LOCO Y DEMENTE,Jesus Toro,57.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.488969,,,,,13:37,3
2025-12-01,Club Hípico de Santiago,3,6,GRAN RAI,Hugo Ochoa,59.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.488982,,,,,13:37,3
2025-12-01,Club Hípico de Santiago,3,7,ANALOGO,Benjamin Sancho,56.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.488995,,,,,13:37,3
2025-12-01,Club Hípico de Santiago,4,1,INDIA PRESUMIDA,Nicolas Ramirez,55.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.489264,,,,,14:10,4
2025-12-01,Club Hípico de Santiago,4,2,YADA,Francisco Morales,55.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.489281,,,,,14:10,4
2025-12-01,Club Hípico de Santiago,4,3,YA AGUS,Felipe Henriquez,55.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.489297,,,,,14:10,4
2025-12-01,Club Hípico de Santiago,4,4,PAMPITA ALEGRE,Darien Cheuque,55.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.489316,,,,,14:10,4
2025-12-01,Club Hípico de Santiago,4,5,LADY LUMBERJACK,Benjamin Troncoso,56.0,,,,,,,CHS_programa_20251201.pdf,programa,2025-12-01T19:27:19.489340,,,,,14:10,4
