fecha,hipodromo,nro_carrera,caballo,jinete,ranking,probabilidad,puntaje
2025-11-17,Club Hípico de Santiago,1,PERFECTA ACTITUD,JOSE VILLABLANCA,1,100.0,0.4226
2025-11-17,Club Hípico de Santiago,1,NO HAY ADIOS,BASTIAN SOTO,2,71.7,1.7
2025-11-17,Club Hípico de Santiago,1,LUPO,FRANCISCO MORALES,3,8.0,4.5726
2025-11-17,Club Hípico de Santiago,1,LUPO,FRANCISCO MORALES,4,0.0,4.9347
2025-11-17,Club Hípico de Santiago,2,SEE YOU AGAIN,RONALD FOURNET,1,100.0,0.1738
2025-11-17,Club Hípico de Santiago,2,FRANBEL SOUR,N.N.,2,11.7,4.4908
2025-11-17,Club Hípico de Santiago,2,PACIENCIA ETERNA,N.N.,3,9.1,4.6198
2025-11-17,Club Hípico de Santiago,2,TURQUESA DORADA,JORGE VERA,4,7.9,4.6786
2025-11-17,Club Hípico de Santiago,2,PACIENCIA ETERNA,N.N.,5,2.6,4.9393
2025-11-17,Club Hípico de Santiago,2,FRANBEL SOUR,N.N.,6,0.9,5.0222
2025-11-17,Club Hípico de Santiago,2,TURQUESA DORADA,JORGE VERA,7,0.0,5.0656
2025-11-17,Club Hípico de Santiago,3,CHIANA,BERNARDO LEON,1,100.0,0.8923
2025-11-17,Club Hípico de Santiago,4,EL BRUJO,GERARD RODRIGUEZ,1,100.0,0.7781
2025-11-17,Club Hípico de Santiago,4,GO SUNSHINE GO,JORGE ZUÑIGA,2,37.9,2.0795
2025-11-17,Club Hípico de Santiago,4,GUACHACA,MAURICIO GALAZ,3,0.0,2.8723
2025-11-17,Club Hípico de Santiago,5,TENTADERO,IGNACIO VALDIVIA,1,100.0,0.7724
2025-11-17,Club Hípico de Santiago,5,MITOU,NICOLAS RAMIREZ,2,0.0,1.8738
2025-11-17,Club Hípico de Santiago,6,FLYNG HEARTS,JOAQUIN HERRERA,1,100.0,0.5462
2025-11-17,Club Hípico de Santiago,7,VITRUVIUS,SEBASTIAN GONZALEZ,1,100.0,0.2755
2025-11-17,Club Hípico de Santiago,7,HOVLAND,DARIEN CHEUQUE,2,12.6,4.5304
2025-11-17,Club Hípico de Santiago,7,HOVLAND,DARIEN CHEUQUE,3,0.0,5.1414
2025-11-17,Club Hípico de Santiago,8,PEDERNERA,JAIME MEDINA,1,100.0,0.7064
2025-11-17,Club Hípico de Santiago,9,CABIN CASSIA,JAIME MEDINA,1,100.0,0.7129
2025-11-17,Club Hípico de Santiago,10,RED DADDY,NICOLAS MOLINA,1,100.0,0.4272
2025-11-17,Club Hípico de Santiago,11,INDIAN POET,MAURICIO CHAMORRO,1,100.0,0.9375
2025-11-17,Club Hípico de Santiago,12,PAPUDO CHROME,VICTOR MIRANDA,1,100.0,0.457
2025-11-17,Club Hípico de Santiago,13,ENTRE NEGROS,OSCAR ULLOA,1,100.0,0.8069
2025-11-17,Club Hípico de Santiago,13,A TODO VAPOR,JESUS TORO,2,0.0,1.9649
2025-11-17,Club Hípico de Santiago,14,SUPERAME,OSCAR ULLOA,1,100.0,0.7908
2025-11-17,Club Hípico de Santiago,15,JE T'AIME,GERARD RODRIGUEZ,1,100.0,0.7681
2025-11-17,Club Hípico de Santiago,15,CHICA DEL LUCERO,NICOLAS MOLINA,2,92.7,1.8378
2025-11-17,Club Hípico de Santiago,15,CAPITANA MARVEL,WLADIMIR QUINTEROS,3,74.9,4.4621
2025-11-17,Club Hípico de Santiago,15,CAPITANA MARVEL,WLADIMIR QUINTEROS,4,70.1,5.1698
2025-11-17,Club Hípico de Santiago,15,QUEEN ANY,N.N.,5,44.2,8.9928
2025-11-17,Club Hípico de Santiago,15,QUEEN ANY,N.N.,6,42.7,9.2172
2025-11-17,Club Hípico de Santiago,15,BEL FIOR,RODRIGO PAINEN,7,11.2,13.8627
2025-11-17,Club Hípico de Santiago,15,BEL FIOR,RODRIGO PAINEN,8,0.0,15.5138
2025-11-17,Club Hípico de Santiago,16,BREGO,BASTIAN SOTO,1,100.0,0.416
2025-11-17,Club Hípico de Santiago,16,GRIEZMANN,RODOLFO S. DORES,2,66.7,2.0479
2025-11-17,Club Hípico de Santiago,16,LA ALU,IGNACIO VALDIVIA,3,18.5,4.4055
2025-11-17,Club Hípico de Santiago,16,ZULEMA ZAHIR,JESUS REYES,4,12.2,4.7144
2025-11-17,Club Hípico de Santiago,16,LA ALU,IGNACIO VALDIVIA,5,10.4,4.8044
2025-11-17,Club Hípico de Santiago,16,ZULEMA ZAHIR,JESUS REYES,6,0.0,5.3119
2025-11-17,Club Hípico de Santiago,17,BALDER EL NORUEGO,RODOLFO FUENZALIDA,1,100.0,0.6842
2025-11-17,Club Hípico de Santiago,18,ACHAPLINA,BASTIAN SOTO,1,100.0,3.0859
2025-11-17,Club Hípico de Santiago,18,HAMM GOOD,RODRIGO PAINEN,2,89.1,3.904
2025-11-17,Club Hípico de Santiago,18,JAVIVALETU,N.N.,3,80.1,4.5839
2025-11-17,Club Hípico de Santiago,18,HAMM GOOD,RODRIGO PAINEN,4,75.8,4.9035
2025-11-17,Club Hípico de Santiago,18,JAVIVALETU,N.N.,5,73.8,5.053
2025-11-17,Club Hípico de Santiago,18,DI LA VERDAD ROSA,RICARDO SOLORZA,6,3.1,10.3665
2025-11-17,Club Hípico de Santiago,18,DI LA VERDAD ROSA,RICARDO SOLORZA,7,0.0,10.5964
2025-11-21,Club Hípico de Santiago,1,YO SOY YI,GERARD RODRIGUEZ,1,100.0,0.9204
2025-11-21,Club Hípico de Santiago,1,QUIEN ME PILLO,FELIPE HENRIQUEZ,2,83.6,3.1485
2025-11-21,Club Hípico de Santiago,1,MI SOLCITO,NICOLAS SANTIBAÑEZ,3,74.7,4.353
2025-11-21,Club Hípico de Santiago,1,AKUMA,JUAN MUÑOZ,4,74.6,4.364
2025-11-21,Club Hípico de Santiago,1,AMOR PERFECTO,AXEL ALVAREZ,5,74.1,4.4376
2025-11-21,Club Hípico de Santiago,1,GRAN TOURIST,MOISES A. DONOSO,6,73.9,4.4547
2025-11-21,Club Hípico de Santiago,1,DESCREIDA,TOMAS SEITH,7,73.9,4.4614
2025-11-21,Club Hípico de Santiago,1,FLEETWOOD,N.N.,8,73.7,4.4878
2025-11-21,Club Hípico de Santiago,1,FERRAT,JOSE VILLABLANCA,9,73.7,4.4913
2025-11-21,Club Hípico de Santiago,1,SPECIAL MACHINE,FRANCISCO MORALES,10,65.0,5.6689
2025-11-21,Club Hípico de Santiago,1,AHMAKIL,PIERO REYES P.,11,41.4,8.8668
2025-11-21,Club Hípico de Santiago,1,LUDMILA,BASTIAN SOTO,12,27.9,10.6999
2025-11-21,Club Hípico de Santiago,1,EL KICHAN,RODOLFO FUENZALIDA,13,14.6,12.4995
2025-11-21,Club Hípico de Santiago,1,SOBRAO DE CARIÑO,NICOLAS MOLINA,14,3.6,13.9864
2025-11-21,Club Hípico de Santiago,1,ATEX,DARIEN CHEUQUE,15,0.0,14.4791
2025-11-21,Club Hípico de Santiago,2,SAHOURIYE,BASTIAN SOTO,1,100.0,3.9262
2025-11-21,Club Hípico de Santiago,2,LUGA,JONATHAN A. CASTILLO,2,66.5,4.1963
2025-11-21,Club Hípico de Santiago,2,SONG SONG BLUE,RODRIGO COVARRUBIAS,3,62.6,4.228
2025-11-21,Club Hípico de Santiago,2,SIGAN LA MUSICA,RODRIGO PAINEN,4,44.7,4.3722
2025-11-21,Club Hípico de Santiago,2,KERRYS,RODOLFO FUENZALIDA,5,41.2,4.4002
2025-11-21,Club Hípico de Santiago,2,YA AGUS,FELIPE HENRIQUEZ,6,35.8,4.4439
2025-11-21,Club Hípico de Santiago,2,GOLFISTA,MIGUEL GUTIERREZ,7,32.3,4.472
2025-11-21,Club Hípico de Santiago,2,SEÑORA RITA,RONALD FOURNET,8,29.6,4.494
2025-11-21,Club Hípico de Santiago,2,MI NIETA AGUSTINA,NICOLAS MOLINA,9,28.5,4.503
2025-11-21,Club Hípico de Santiago,2,POWER GIRL,FABIAN MEDINA,10,14.7,4.6146
2025-11-21,Club Hípico de Santiago,2,NUEVA ACTRICE,DARIEN CHEUQUE,11,8.5,4.6647
2025-11-21,Club Hípico de Santiago,2,TIA LUZMIRA,GERARD RODRIGUEZ,12,6.4,4.6811
2025-11-21,Club Hípico de Santiago,2,LADY FIRST,JORGE ZUÑIGA,13,4.9,4.6931
2025-11-21,Club Hípico de Santiago,2,ESTILO ANTIGUO,SEBASTIAN GONZALEZ,14,2.7,4.7114
2025-11-21,Club Hípico de Santiago,2,LANNA,JOSE CUETO,15,0.0,4.733
2025-11-21,Club Hípico de Santiago,3,PERFECTA ACTITUD,JOSE VILLABLANCA,1,100.0,0.4856
2025-11-21,Club Hípico de Santiago,3,PESO DORADO,JORGE ZUÑIGA,2,23.4,3.7041
2025-11-21,Club Hípico de Santiago,3,EL FELICIDAD,JONATHAN A. CASTILLO,3,8.0,4.3504
2025-11-21,Club Hípico de Santiago,3,EL BIGOTE,AXEL ALVAREZ,4,6.4,4.4173
2025-11-21,Club Hípico de Santiago,3,MY RESILIENCE,NICOLAS RAMIREZ,5,5.1,4.4733
2025-11-21,Club Hípico de Santiago,3,GENESIS,HUGO OCHOA,6,2.8,4.5694
2025-11-21,Club Hípico de Santiago,3,MUY SOLO AQUI,RAFAEL CISTERNAS,7,0.6,4.6629
2025-11-21,Club Hípico de Santiago,3,SASSI,BERNARDO LEON,8,0.0,4.688
2025-11-21,Club Hípico de Santiago,4,SEVEN WONDERS,ANYELO RIVERA,1,100.0,4.4937
2025-11-21,Club Hípico de Santiago,4,SIRENA SOLITARIA,HUGO OCHOA,2,98.4,4.4963
2025-11-21,Club Hípico de Santiago,4,BERNOULLI,IGNACIO VALDIVIA,3,95.3,4.5013
2025-11-21,Club Hípico de Santiago,4,MALORY,JAIME MEDINA,4,65.3,4.5497
2025-11-21,Club Hípico de Santiago,4,LADY IN BLACK,JOAQUIN HERRERA,5,65.1,4.5499
2025-11-21,Club Hípico de Santiago,4,CAMBIA EL SWITCH,FABIAN MEDINA,6,10.1,4.6386
2025-11-21,Club Hípico de Santiago,4,PRIVATE PARTY,OSCAR ULLOA,7,0.0,4.6549
2025-11-21,Club Hípico de Santiago,5,ACLIS,JOSE VILLABLANCA,1,100.0,1.4567
2025-11-21,Club Hípico de Santiago,5,PEDRINHO,JORGE A. MORA,2,97.3,1.7612
2025-11-21,Club Hípico de Santiago,5,MY CLAUDIA,BASTIAN SOTO,3,90.2,2.5599
